RA,DEC
60.6671,-60.5915
21.3259,-49.0489
305.343,-52.1366
348.188,-58.0131
321.824,-54.5684
13.9782,-55.3490
50.8810,-45.5158
1.20593,-1.06723
35.4373,-56.5029
44.9379,-59.0528
75.3814,-42.1162
28.4412,-60.0533
56.4041,-49.4762
354.882,-49.5799
56.3133,-53.9817
44.8496,-45.3162
70.6463,-60.2206
47.3056,-42.4330
306.701,-50.5436
60.2208,-41.8359
40.2172,-47.0142
5.30091,-50.7939
51.5268,-48.2058
57.2115,-55.4711
42.6654,-48.3042
49.7090,-41.0222
74.5222,-47.6141
53.4492,-47.7628
322.408,-0.567123
33.1407,-47.3727
342.261,0.336568
85.0950,-53.9187
68.1810,-58.4483
320.609,-50.6213
76.9639,-47.2458
56.3408,-41.4869
80.2335,-57.8378
322.659,-51.6546
34.9908,-42.2242
7.79429,-41.7450
75.7294,-53.6334
355.006,-55.6674
39.1808,-48.7614
66.8209,-52.1293
346.868,-44.0799
80.6623,-43.7716
50.2855,-50.5134
311.155,-57.7608
354.947,-54.5882
347.794,-0.505852
12.6701,-44.4084
52.8043,-40.8228
59.6926,-41.6756
91.8888,-51.2344
61.3520,-47.2847
31.0785,-46.6068
329.484,-54.0153
56.3063,-54.2333
56.7211,-51.7992
96.2088,-55.8086
13.8834,-50.4392
39.5132,-56.7936
2.61895,-53.4033
340.433,-56.5201
18.2392,-40.8634
356.745,0.834800
85.9259,-51.8450
15.7658,-46.0705
57.6958,-40.8853
50.4250,-52.4050
356.369,-44.5637
352.339,-47.8840
57.9138,-40.7289
52.1118,-44.6901
7.07799,-47.7464
28.9182,-40.5114
306.953,-49.8150
13.6176,-46.3446
47.1883,-49.6737
47.8557,-51.8822
65.2710,-43.4343
340.372,-45.1051
21.5341,-55.2717
320.917,1.32408
6.67732,-52.2064
347.056,-43.8225
8.37572,-54.1072
2.76200,-43.0299
82.3207,-49.1790
307.277,-52.7272
48.1025,-43.2213
57.7001,-59.3964
343.326,-0.462933
346.985,-54.1586
97.8514,-54.2391
25.5013,-43.2705
15.2591,-50.4932
9.98657,-42.6711
83.6999,-51.3233
306.942,-53.4028
0.514218,0.459724
13.7803,-54.5111
359.734,-1.34619
24.9581,-50.2654
340.424,-56.3069
345.578,0.783388
343.562,1.52519
53.5002,-42.7347
37.8767,-54.6631
45.1776,-41.6933
305.837,-58.1305
77.1919,-47.8436
83.9907,-50.1469
359.714,-53.3177
93.2223,-61.6084
8.22727,-52.7677
80.3765,-43.8059
65.1979,-56.0012
28.0042,-53.0918
355.537,-56.3417
35.0407,-43.2573
53.3301,-51.3185
50.2052,-43.5987
19.0082,-58.1491
55.5519,-43.4842
85.6057,-40.1763
21.0495,-46.1064
325.759,-51.8428
345.899,-40.4812
59.4522,-57.2398
24.1824,-57.8693
15.1657,-49.6025
19.7495,-53.2521
347.770,-54.7725
96.9969,-52.8867
87.5395,-39.6972
63.9355,-52.7329
320.305,-58.8564
313.849,-55.6452
86.4358,-55.1143
93.5673,-43.4512
326.201,-59.0835
80.1184,-46.1402
78.6959,-44.8236
27.5957,-51.6876
79.7671,-57.9093
66.5829,-42.2591
337.587,-54.6458
342.724,1.31822
88.1173,-40.9268
38.0354,-42.0057
45.7313,-42.9393
79.0885,-57.6377
17.6375,-50.4827
88.8324,-40.2844
52.3943,-42.2020
76.0934,-56.2103
20.4038,-59.0795
75.7410,-58.3630
3.17642,1.21690
335.345,-54.8558
359.475,-51.3689
28.1796,-58.6270
2.92294,-47.9473
329.568,0.0245350
87.8276,-40.7497
330.138,0.729456
353.071,0.622513
89.6752,-58.0781
351.217,-1.40008
322.395,-1.13070
344.973,1.41284
349.014,0.715165
54.4900,-48.6414
2.34582,-40.6742
74.8353,-41.5820
30.3986,-48.4536
16.9778,-51.8478
27.8039,-47.6923
94.1732,-42.9640
314.503,-57.1040
3.37975,-50.4555
34.0300,-43.7145
18.2748,-45.7613
13.8492,-43.9353
18.8966,-52.8834
52.5513,-40.8042
84.7195,-47.3977
92.3118,-60.7823
31.4116,-50.3970
353.613,-52.0937
66.8476,-47.5556
25.8848,-46.5374
73.3054,-41.3502
46.7631,-59.7421
45.7160,-56.0672
321.160,-54.0512
353.288,-52.0930
349.177,-55.9208
95.9600,-45.6747
49.0718,-42.0926
50.3246,-51.3022
45.9575,-54.5455
71.5010,-45.9407
35.5007,-48.5887
348.420,1.77602
31.6090,-42.0774
27.3191,-57.7445
19.2514,-44.8691
350.728,-52.8252
36.7498,-57.6082
65.1324,-47.2698
355.075,-56.4828
355.062,-51.0464
76.0481,-44.4217
33.3652,-54.3685
25.8392,-50.5371
11.9143,-42.8775
26.6421,-53.5692
0.254549,-44.3909
345.834,-58.7533
359.392,-1.75470
